,event time,effect,ci_low,ci_high,period
0,-5,0.0016796251711510557,-0.009651174788361644,0.012674341498619087,pre
1,-4,5.876390172827946e-06,-0.008004666132073143,0.00811016791750584,pre
2,-3,0.001713359659312513,-0.0037652933147185427,0.007263364179756492,pre
3,-2,-0.00019806164361846346,-0.0031986710601627005,0.002692543705607519,pre
4,-1,0.0,0.0,0.0,pre
5,0,-0.007552680756300267,-0.012351663249290722,0.0005642717199316158,post
6,1,-0.016436897644714565,-0.026491585076233892,-0.0010304227263167674,post
7,2,-0.029880089340848025,-0.043554548620862055,-0.012043643791634888,post
8,3,-0.0342001184717325,-0.048650002699407204,-0.015546785526917812,post
9,4,-0.03448813234796862,-0.04934526534911216,-0.012497049809850513,post
10,5,-0.022676055235192383,-0.045212295664282726,-0.0020194039269957,post
