,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-15,0.07186505188918257,0.013614927285023937,0.04518028475840396,0.09854981901996118,*
-14,0.06281587719703996,0.01058662327357593,0.042066476862937616,0.0835652775311423,*
-13,0.06886371194738317,0.0059313231733383875,0.0572385321469721,0.08048889174779422,*
-12,0.06428492691775212,0.004998782416803233,0.05448749341426569,0.07408236042123854,*
-11,0.045170781144411976,0.0073062447077318435,0.03085080465502119,0.059490757633802765,*
-10,0.03628968233236041,0.005459399251823771,0.025589456421560897,0.04698990824315992,*
-9,0.029666949989229252,0.0066967322548058235,0.016541595955702128,0.042792304022756376,*
-8,0.026268108408502577,0.007614933053953065,0.011343113878070965,0.04119310293893419,*
-7,0.007314744456665056,0.01597935387638213,-0.024004213637264418,0.038633702550594534,
-6,0.004629713332982926,0.011516784827461568,-0.017942770146539087,0.02720219681250494,
-5,0.0061648151957955696,0.009773640689331406,-0.012991168553129215,0.025320798944720356,
-4,0.0015493096056564295,0.006734888849915355,-0.01165082998005805,0.01474944919137091,
-3,0.003766975239008516,0.003963133417567215,-0.004000623525350364,0.011534574003367397,
-2,0.0005058286477996018,0.002430309763779646,-0.0042574909604845505,0.0052691482560837544,
-1,0.0,,,,
0,-0.0075526807563003565,0.0026016386623832874,-0.01265179883535856,-0.0024535626772421524,*
1,-0.016436897644714232,0.005350931332012384,-0.026924530339205444,-0.005949264950223021,*
2,-0.029880089340847786,0.006958941389683808,-0.04351936383515316,-0.01624081484654241,*
3,-0.03420011847173204,0.008041645673699986,-0.04996145436861635,-0.018438782574847726,*
4,-0.034488132347968395,0.00870462839140711,-0.05154889049393116,-0.017427374202005633,*
5,-0.022676055235191846,0.011654424330004404,-0.04551830718254783,0.0001661967121641371,
6,-0.01854999409082961,0.013203426648476622,-0.044428234794360186,0.0073282466127009595,
7,-0.011054603257590483,0.01500490620353855,-0.040463679007927675,0.018354472492746708,
8,-0.029651834426388742,0.015407763455756222,-0.05985049588198334,0.0005468270292058562,
9,-0.04167105586430023,0.017989566271874542,-0.07692995785467083,-0.006412153873929634,*
10,-0.04279664889465869,0.01754623793948469,-0.07718664332021896,-0.008406654469098405,*
11,-0.04506821233275088,0.01766937523174553,-0.07969955141629619,-0.010436873249205572,*
12,-0.039055248008441665,0.018275119508486298,-0.07487382405824014,-0.003236671958643189,*
13,-0.03223001715214868,0.027135868347106483,-0.08541534180169782,0.020955307497400467,
14,-0.07861287119787204,0.03725752986357204,-0.15163628788339875,-0.0055894545123453265,*
15,-0.081028853669455,0.016499437318188242,-0.11336715657828009,-0.04869055076062991,*
16,-0.11669826652642579,0.0025295265615386336,-0.12165604748497895,-0.11174048556787262,*
17,-0.10748365216200728,1.8880691083012787e-17,-0.10748365216200732,-0.10748365216200724,*
18,-0.1571392793577795,2.7603250642149344e-17,-0.15713927935777955,-0.15713927935777944,*
